report,state,state_raw,ref_year,level,sex,value,is_estimated
2019-20,All India,India,2015-16,Certificate,Both,144060.0,False
2019-20,All India,India,2015-16,Certificate,Female,80776.0,False
2019-20,All India,India,2015-16,Certificate,Male,63284.0,False
2019-20,All India,India,2015-16,Diploma,Both,2549160.0,False
2019-20,All India,India,2015-16,Diploma,Female,755825.0,False
2019-20,All India,India,2015-16,Diploma,Male,1793335.0,False
2019-20,All India,India,2015-16,Grand Total,Both,34584781.0,False
2019-20,All India,India,2015-16,Grand Total,Female,15990058.0,False
2019-20,All India,India,2015-16,Grand Total,Male,18594723.0,False
2019-20,All India,India,2015-16,Integrated,Both,155422.0,False
2019-20,All India,India,2015-16,Integrated,Female,62776.0,False
2019-20,All India,India,2015-16,Integrated,Male,92646.0,False
2019-20,All India,India,2015-16,M.Phil.,Both,42523.0,False
2019-20,All India,India,2015-16,M.Phil.,Female,25050.0,False
2019-20,All India,India,2015-16,M.Phil.,Male,17473.0,False
2019-20,All India,India,2015-16,PG,Both,3917156.0,False
2019-20,All India,India,2015-16,PG,Female,2098713.0,False
2019-20,All India,India,2015-16,PG,Male,1818443.0,False
2019-20,All India,India,2015-16,PG Diploma,Both,229559.0,False
2019-20,All India,India,2015-16,PG Diploma,Female,106167.0,False
2019-20,All India,India,2015-16,PG Diploma,Male,123392.0,False
2019-20,All India,India,2015-16,Ph.D.,Both,126451.0,False
2019-20,All India,India,2015-16,Ph.D.,Female,51904.0,False
2019-20,All India,India,2015-16,Ph.D.,Male,74547.0,False
2019-20,All India,India,2015-16,UG,Both,27420450.0,False
2019-20,All India,India,2015-16,UG,Female,12808847.0,False
2019-20,All India,India,2015-16,UG,Male,14611603.0,False
2019-20,All India,India,2016-17,Certificate,Both,166617.0,False
2019-20,All India,India,2016-17,Certificate,Female,82977.0,False
2019-20,All India,India,2016-17,Certificate,Male,83640.0,False
2019-20,All India,India,2016-17,Diploma,Both,2612209.0,False
2019-20,All India,India,2016-17,Diploma,Female,791232.0,False
2019-20,All India,India,2016-17,Diploma,Male,1820977.0,False
2019-20,All India,India,2016-17,Grand Total,Both,35705905.0,False
2019-20,All India,India,2016-17,Grand Total,Female,16725310.0,False
2019-20,All India,India,2016-17,Grand Total,Male,18980595.0,False
2019-20,All India,India,2016-17,Integrated,Both,173957.0,False
2019-20,All India,India,2016-17,Integrated,Female,71503.0,False
2019-20,All India,India,2016-17,Integrated,Male,102454.0,False
2019-20,All India,India,2016-17,M.Phil.,Both,43267.0,False
2019-20,All India,India,2016-17,M.Phil.,Female,26803.0,False
2019-20,All India,India,2016-17,M.Phil.,Male,16464.0,False
2019-20,All India,India,2016-17,PG,Both,4007570.0,False
2019-20,All India,India,2016-17,PG,Female,2187006.0,False
2019-20,All India,India,2016-17,PG,Male,1820564.0,False
2019-20,All India,India,2016-17,PG Diploma,Both,213051.0,False
2019-20,All India,India,2016-17,PG Diploma,Female,92259.0,False
2019-20,All India,India,2016-17,PG Diploma,Male,120792.0,False
2019-20,All India,India,2016-17,Ph.D.,Both,141037.0,False
2019-20,All India,India,2016-17,Ph.D.,Female,59242.0,False
2019-20,All India,India,2016-17,Ph.D.,Male,81795.0,False
2019-20,All India,India,2016-17,UG,Both,28348197.0,False
2019-20,All India,India,2016-17,UG,Female,13414288.0,False
2019-20,All India,India,2016-17,UG,Male,14933909.0,False
2019-20,All India,India,2017-18,Certificate,Both,177223.0,False
2019-20,All India,India,2017-18,Certificate,Female,100261.0,False
2019-20,All India,India,2017-18,Certificate,Male,76962.0,False
2019-20,All India,India,2017-18,Diploma,Both,2707934.0,False
2019-20,All India,India,2017-18,Diploma,Female,869717.0,False
2019-20,All India,India,2017-18,Diploma,Male,1838217.0,False
2019-20,All India,India,2017-18,Grand Total,Both,36642377.5832133,True
2019-20,All India,India,2017-18,Grand Total,Female,17437702.669367902,True
2019-20,All India,India,2017-18,Grand Total,Male,19204674.9138454,True
2019-20,All India,India,2017-18,Integrated,Both,195777.0,False
2019-20,All India,India,2017-18,Integrated,Female,81366.0,False
2019-20,All India,India,2017-18,Integrated,Male,114411.0,False
2019-20,All India,India,2017-18,M.Phil.,Both,34109.0,False
2019-20,All India,India,2017-18,M.Phil.,Female,21822.0,False
2019-20,All India,India,2017-18,M.Phil.,Male,12287.0,False
2019-20,All India,India,2017-18,PG,Both,4114309.841705133,True
2019-20,All India,India,2017-18,PG,Female,2223239.0743189426,True
2019-20,All India,India,2017-18,PG,Male,1891070.7673861897,True
2019-20,All India,India,2017-18,PG Diploma,Both,235263.0,False
2019-20,All India,India,2017-18,PG Diploma,Female,108410.0,False
2019-20,All India,India,2017-18,PG Diploma,Male,126853.0,False
2019-20,All India,India,2017-18,Ph.D.,Both,161412.0,False
2019-20,All India,India,2017-18,Ph.D.,Female,68842.0,False
2019-20,All India,India,2017-18,Ph.D.,Male,92570.0,False
2019-20,All India,India,2017-18,UG,Both,29016349.741508164,True
2019-20,All India,India,2017-18,UG,Female,13964045.595048957,True
2019-20,All India,India,2017-18,UG,Male,15052304.146459209,True
2019-20,All India,India,2018-19,Certificate,Both,162697.0,False
2019-20,All India,India,2018-19,Certificate,Female,87570.0,False
2019-20,All India,India,2018-19,Certificate,Male,75127.0,False
2019-20,All India,India,2018-19,Diploma,Both,2699395.0,False
2019-20,All India,India,2018-19,Diploma,Female,896187.0,False
2019-20,All India,India,2018-19,Diploma,Male,1803208.0,False
2019-20,All India,India,2018-19,Grand Total,Both,37399388.0,False
2019-20,All India,India,2018-19,Grand Total,Female,18189500.0,False
2019-20,All India,India,2018-19,Grand Total,Male,19209888.0,False
2019-20,All India,India,2018-19,Integrated,Both,241126.0,False
2019-20,All India,India,2018-19,Integrated,Female,102470.0,False
2019-20,All India,India,2018-19,Integrated,Male,138656.0,False
2019-20,All India,India,2018-19,M.Phil.,Both,30692.0,False
2019-20,All India,India,2018-19,M.Phil.,Female,19069.0,False
2019-20,All India,India,2018-19,M.Phil.,Male,11623.0,False
2019-20,All India,India,2018-19,PG,Both,4042522.0,False
2019-20,All India,India,2018-19,PG,Female,2281192.0,False
2019-20,All India,India,2018-19,PG,Male,1761330.0,False
2019-20,All India,India,2018-19,PG Diploma,Both,224711.0,False
2019-20,All India,India,2018-19,PG Diploma,Female,103156.0,False
2019-20,All India,India,2018-19,PG Diploma,Male,121555.0,False
2019-20,All India,India,2018-19,Ph.D.,Both,169170.0,False
2019-20,All India,India,2018-19,Ph.D.,Female,74127.0,False
2019-20,All India,India,2018-19,Ph.D.,Male,95043.0,False
2019-20,All India,India,2018-19,UG,Both,29829075.0,False
2019-20,All India,India,2018-19,UG,Female,14625729.0,False
2019-20,All India,India,2018-19,UG,Male,15203346.0,False
2019-20,All India,India,2019-20,Certificate,Both,159869.0,False
2019-20,All India,India,2019-20,Certificate,Female,85705.0,False
2019-20,All India,India,2019-20,Certificate,Male,74164.0,False
2019-20,All India,India,2019-20,Diploma,Both,2672562.0,False
2019-20,All India,India,2019-20,Diploma,Female,931764.0,False
2019-20,All India,India,2019-20,Diploma,Male,1740798.0,False
2019-20,All India,India,2019-20,Grand Total,Both,38536359.0,False
2019-20,All India,India,2019-20,Grand Total,Female,18892612.0,False
2019-20,All India,India,2019-20,Grand Total,Male,19643747.0,False
2019-20,All India,India,2019-20,Integrated,Both,300373.0,False
2019-20,All India,India,2019-20,Integrated,Female,131661.0,False
2019-20,All India,India,2019-20,Integrated,Male,168712.0,False
2019-20,All India,India,2019-20,M.Phil.,Both,23934.0,False
2019-20,All India,India,2019-20,M.Phil.,Female,14891.0,False
2019-20,All India,India,2019-20,M.Phil.,Male,9043.0,False
2019-20,All India,India,2019-20,PG,Both,4312535.0,False
2019-20,All India,India,2019-20,PG,Female,2452372.0,False
2019-20,All India,India,2019-20,PG,Male,1860163.0,False
2019-20,All India,India,2019-20,PG Diploma,Both,217249.0,False
2019-20,All India,India,2019-20,PG Diploma,Female,100903.0,False
2019-20,All India,India,2019-20,PG Diploma,Male,116346.0,False
2019-20,All India,India,2019-20,Ph.D.,Both,202550.0,False
2019-20,All India,India,2019-20,Ph.D.,Female,91106.0,False
2019-20,All India,India,2019-20,Ph.D.,Male,111444.0,False
2019-20,All India,India,2019-20,UG,Both,30647287.0,False
2019-20,All India,India,2019-20,UG,Female,15084210.0,False
2019-20,All India,India,2019-20,UG,Male,15563077.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Certificate,Both,0.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Certificate,Female,0.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Certificate,Male,0.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Diploma,Both,806.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Diploma,Female,314.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Diploma,Male,492.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Grand Total,Both,11024.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Grand Total,Female,5680.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Grand Total,Male,5344.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Integrated,Both,109.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Integrated,Female,83.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Integrated,Male,26.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,M.Phil.,Both,0.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,M.Phil.,Female,0.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,M.Phil.,Male,0.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,PG,Both,1481.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,PG,Female,907.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,PG,Male,574.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,PG Diploma,Both,114.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,PG Diploma,Female,39.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,PG Diploma,Male,75.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Ph.D.,Both,86.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Ph.D.,Female,17.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,Ph.D.,Male,69.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,UG,Both,8428.0,False
2019-20,Andaman & Nicobar Islands,Andaman and Nicobar Islands,2015-16,UG,Female,4320.0,False
