report,sheet_name,table_no_guess,table_id,description,include,notes
2019-20,4CollegeIndicator,4,college_indicators,"Colleges per lakh population, average enrolment",yes,Uses 18-23 population denominator
2020-21,4CollegeIndicator,4,college_indicators,"Colleges per lakh population, average enrolment",yes,Uses 18-23 population denominator
2021-22,4CollegeIndicator,4,college_indicators,"Colleges per lakh population, average enrolment",yes,Uses 18-23 population denominator
2022-23,4CollegeIndicator,4,college_indicators,"Colleges per lakh population, average enrolment",yes,Uses 18-23 population denominator
2023-24,4CollegeIndicator,4,college_indicators,"Colleges per lakh population, average enrolment",yes,Uses 18-23 population denominator
2019-20,4CollegeIndicator (2),4,college_indicators,"Colleges per lakh population, average enrolment",yes,Uses 18-23 population denominator
2020-21,4CollegeIndicator (2),4,college_indicators,"Colleges per lakh population, average enrolment",yes,Uses 18-23 population denominator
2021-22,4CollegeIndicator (2),4,college_indicators,"Colleges per lakh population, average enrolment",yes,Uses 18-23 population denominator
2019-20,42CollegeIndicator,42,college_indicators_series,"College indicators, 5-year series",yes,Back-series
2020-21,42CollegeIndicator,42,college_indicators_series,"College indicators, 5-year series",yes,Back-series
2021-22,42CollegeIndicator,42,college_indicators_series,"College indicators, 5-year series",yes,Back-series
2022-23,42CollegeIndicator,42,college_indicators_series,"College indicators, 5-year series",yes,Back-series
2023-24,42CollegeIndicator,42,college_indicators_series,"College indicators, 5-year series",yes,Back-series
2019-20,5ManagementCollegeNo,5,college_management,Private vs government colleges,yes,Actual response only
2020-21,5ManagementCollegeNo,5,college_management,Private vs government colleges,yes,Actual response only
2021-22,5ManagementCollegeNo,5,college_management,Private vs government colleges,yes,Actual response only
2022-23,5ManagementCollegeNo,5,college_management,Private vs government colleges,yes,Actual response only
2023-24,5ManagementCollegeNo,5,college_management,Private vs government colleges,yes,Actual response only
2019-20,ManagementCollegeNo (2),,college_management,Private vs government colleges,yes,Actual response only
2020-21,ManagementCollegeNo (2),,college_management,Private vs government colleges,yes,Actual response only
2021-22,ManagementCollegeNo (2),,college_management,Private vs government colleges,yes,Actual response only
2019-20,3Collegerange,3,district_institution_dist,Districts and institutions by state,yes,
2020-21,3Collegerange,3,district_institution_dist,Districts and institutions by state,yes,
2021-22,3Collegerange,3,district_institution_dist,Districts and institutions by state,yes,
2022-23,3Collegerange,3,district_institution_dist,Districts and institutions by state,yes,
2023-24,3Collegerange,3,district_institution_dist,Districts and institutions by state,yes,
2019-20,10CollegeEst,10,enrol_by_institution_type,Enrolment by university / college / standalone,yes,Sheet name misspelt in source
2020-21,10InstituionEst,10,enrol_by_institution_type,Enrolment by university / college / standalone,yes,Sheet name misspelt in source
2021-22,10InstituionEst,10,enrol_by_institution_type,Enrolment by university / college / standalone,yes,Sheet name misspelt in source
2022-23,10InstituionEst,10,enrol_by_institution_type,Enrolment by university / college / standalone,yes,Sheet name misspelt in source
2023-24,10InstituionEst,10,enrol_by_institution_type,Enrolment by university / college / standalone,yes,Sheet name misspelt in source
2019-20,8CollegeAct,8,enrol_college,Colleges registered/responded and their enrolment,yes,
2020-21,8CollegeAct,8,enrol_college,Colleges registered/responded and their enrolment,yes,
2021-22,8CollegeAct,8,enrol_college,Colleges registered/responded and their enrolment,yes,
2022-23,8CollegeAct,8,enrol_college,Colleges registered/responded and their enrolment,yes,
2023-24,8CollegeAct,8,enrol_college,Colleges registered/responded and their enrolment,yes,
2019-20,6bTotalDistanceEnr,6,enrol_level_distance,"Enrolment by level, distance mode",yes,Actual response only
2020-21,6bTotalDistanceEnr,6,enrol_level_distance,"Enrolment by level, distance mode",yes,Actual response only
2021-22,6bTotalDistanceEnr,6,enrol_level_distance,"Enrolment by level, distance mode",yes,Actual response only
2022-23,6bTotalDistanceEnr,6,enrol_level_distance,"Enrolment by level, distance mode",yes,Actual response only
2023-24,6bTotalDistanceEnr,6,enrol_level_distance,"Enrolment by level, distance mode",yes,Actual response only
2022-23,6dTotalOnline,6,enrol_level_online,"Enrolment by level, online mode",yes,Absent before 2022-23. Do not trend
2023-24,6dTotalOnline,6,enrol_level_online,"Enrolment by level, online mode",yes,Absent before 2022-23. Do not trend
2021-22,6cTotalPrivateEnr,6,enrol_level_private,"Enrolment by level, private mode",yes,Absent before 2021-22
2022-23,6cTotalPrivateEnr,6,enrol_level_private,"Enrolment by level, private mode",yes,Absent before 2021-22
2023-24,6cTotalPrivateEnr,6,enrol_level_private,"Enrolment by level, private mode",yes,Absent before 2021-22
2019-20,6aTotalRegularEnr,6,enrol_level_regular,"Enrolment by level, regular mode",yes,
