report,sheet_name,table_no_guess,table_id,description,include,notes
2019-20,1UniNo,1,,,,
2019-20,1InsResponse,1,,,,
2019-20,2University-Specialisation,2,,,,
2019-20,3Collegerange,3,,,,
2019-20,4CollegeIndicator,4,,,,
2019-20,4aCollegeSpec,4,,,,
2019-20,5ManagementCollegeNo,5,,,,
2019-20,6TotalEnr,6,,,,
2019-20,6aTotalRegularEnr,6,,,,
2019-20,6bTotalDistanceEnr,6,,,,
2019-20,7UnivActwithConsUnit,7,,,,
2019-20,8CollegeAct,8,,,,
2019-20,9AllSAAct,9,,,,
2019-20,10CollegeEst,10,,,,
2019-20,11Programme,11,,,,
2019-20,11aProgrammeDistance ,11,,,,
2019-20,12UGDisc ,12,,,,
2019-20,13PGDisc,13,,,,
2019-20,14TotalEnrCategory,14,,,,
2019-20,16FS-countrylevel,16,,,,
2019-20,17FS-statelevel,17,,,,
2019-20,18FS-prog,18,,,,
2019-20,19GER,19,,,,
2019-20,ManagementCollegeNo (2),,,,,
2019-20,WomenCollege,,,,,
2019-20,20GPI,20,,,,
2019-20,21TeacherCategory,21,,,,
2019-20,22TeacherPost,22,,,,
2019-20,22aTeacherPostUC,22,,,,
2019-20,22bTeacherPostU,22,,,,
2019-20,23StaffPost,23,,,,
2019-20,24StaffCategory,24,,,,
2019-20,25PTR,25,,,,
2019-20,26UnivEnrolinclConstituentU,26,,,,
2019-20,27TypeEnrolmentCategory-Est,27,,,,
2019-20,29TypeTeacherPostEstimated,29,,,,
2019-20,30TypeTeacherCategoryEstimated,30,,,,
2019-20,31Hostelstate ,31,,,,
2019-20,32TypeHostel,32,,,,
2019-20,33OutTurnState,33,,,,
2019-20,34OutTurn Prog ,34,,,,
2019-20,35UGDisc,35,,,,
2019-20,36 PGDisc ,36,,,,
2019-20,37CollegeTypeNo,37,,,,
2019-20,38pop2019,38,,,,
2019-20,39TypeStateUnivwithConsUnit,39,,,,
2019-20,40NoUni,40,,,,
2019-20,41NoUniType,41,,,,
2019-20,42CollegeIndicator,42,,,,
2019-20,43ENRLT,43,,,,
2019-20,44ENRLR,44,,,,
2019-20,45EnrlCategory,45,,,,
2019-20,46EnrlMinority,46,,,,
2019-20,47GER ,47,,,,
2019-20,48GPI,48,,,,
2019-20,49PTR,49,,,,
2019-20,50LevelEnrlUniType,50,,,,
2019-20,51PostTeacher,51,,,,
2019-20,52Pop,52,,,,
2019-20,4CollegeIndicator (2),4,,,,
2019-20,RespondingTypeCollege,,,,,
2019-20,Paste,,,,,
2019-20,StandaloneMgt,,,,,
2020-21,1UniNo,1,,,,
2020-21,1InsResponse,1,,,,
2020-21,2University-Specialisation,2,,,,
2020-21,3Collegerange,3,,,,
2020-21,4CollegeIndicator,4,,,,
2020-21,4aCollegeSpec,4,,,,
2020-21,5ManagementCollegeNo,5,,,,
2020-21,6TotalEnr,6,,,,
2020-21,6aTotalRegularEnr,6,,,,
2020-21,6bTotalDistanceEnr,6,,,,
2020-21,7UnivActwithConsUnit,7,,,,
